"Deaths by sex, month and year"

"sex","month","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919"
"men","January",3972,3584,3346,3688,3422,4255,3594,3652,3767,3492,3195,3498,3563,3564,3617,4848,3450,3820,3704,5309
"men","February",3795,3523,3294,3320,3493,3671,3047,3451,3832,3189,3227,3354,3479,3431,3039,3911,3241,3587,2901,4039
"men","March",4109,4139,3846,3869,3947,3887,3426,3736,3842,3620,3487,3465,3519,3817,3513,3939,3693,3952,3274,3821
"men","April",4684,3925,3784,3748,3589,3767,3432,3660,3423,3344,3894,3544,3705,3551,3449,3768,3728,3527,3129,4040
"men","May",4595,3664,3894,3687,3474,3767,3398,3454,3612,3416,3551,3327,3679,3405,3392,3621,3480,3499,3182,3541
"men","June",3672,3237,3318,3221,3270,3303,3175,3118,3197,3258,3094,3197,3246,3067,3322,3224,3258,3025,2939,2835
"men","July",3218,3452,3023,3129,3064,3133,3028,2926,3049,2925,2995,2954,3176,3019,3327,3020,3145,2723,2833,2987
"men","August",2939,3226,2702,2764,2941,2981,2996,2684,2984,2528,2657,3069,2798,2688,2836,2613,2707,2628,3087,2572
"men","September",2784,2986,2532,2663,2707,2823,2661,2685,2825,2438,2596,2744,2739,2649,2703,2660,2679,2623,4489,2560
"men","October",3082,2926,2993,3047,2978,3122,2883,2866,2895,2581,3025,2972,3075,2930,2968,2883,3050,2886,8826,3029
"men","November",2984,3240,3104,3022,3279,3086,2984,2982,3146,2853,3259,2930,3057,2739,2960,3079,2888,2842,8237,3456
"men","December",3428,3521,3826,3346,3575,3319,3418,3492,3259,3173,3430,3149,3299,3425,3653,3652,3166,3329,6261,3461
"men","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"women","January",3894,3719,3372,3694,3779,4342,3783,3902,3891,3596,3493,3686,3855,3842,3822,5516,3603,3925,3724,5690
"women","February",3897,3651,3471,3413,3930,3901,3283,3719,4186,3426,3328,3476,3599,3539,3164,4290,3305,3752,2892,4250
"women","March",4342,4215,3873,3796,4220,4036,3557,4023,4119,3709,3651,3587,3594,3988,3536,4026,3986,4073,3345,3960
"women","April",4748,4213,4101,3824,3650,3890,3586,3683,3676,3510,4016,3669,3817,3544,3526,3859,3828,3606,3107,4036
"women","May",4754,3679,4087,3650,3558,3667,3423,3553,3620,3606,3540,3370,3775,3360,3407,3627,3504,3792,3203,3596
"women","June",3495,3027,3182,3219,3217,3203,3026,3146,3083,3163,3045,3067,3176,3049,3261,3286,3310,3167,2754,2812
"women","July",2988,3308,2883,2951,2959,2896,2854,2895,3034,2826,2734,2876,2926,2831,3311,2812,2981,2760,2617,2603
"women","August",2717,2949,2593,2700,2669,2866,2826,2645,2902,2595,2613,2805,2607,2566,2831,2459,2628,2632,2743,2521
"women","September",2716,2884,2538,2520,2556,2719,2570,2646,2782,2363,2572,2535,2763,2477,2771,2635,2707,2504,3745,2523
"women","October",2919,2732,3027,2994,3026,3209,2974,2644,2788,2654,2964,3073,3123,2927,2986,2848,3107,2718,8452,3091
"women","November",3088,3335,3118,2941,3291,3190,2942,3034,3399,3021,3288,2934,3319,2890,3123,3276,2919,2783,8363,3833
"women","December",3326,3637,3815,3404,3558,3410,3500,3553,3257,3252,3558,3181,3352,3426,3794,3735,3408,3232,6784,3724
"women","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"total","January",7866,7303,6718,7382,7201,8597,7377,7554,7658,7088,6688,7184,7418,7406,7439,10364,7053,7745,7428,10999
"total","February",7692,7174,6765,6733,7423,7572,6330,7170,8018,6615,6555,6830,7078,6970,6203,8201,6546,7339,5793,8289
"total","March",8451,8354,7719,7665,8167,7923,6983,7759,7961,7329,7138,7052,7113,7805,7049,7965,7679,8025,6619,7781
"total","April",9432,8138,7885,7572,7239,7657,7018,7343,7099,6854,7910,7213,7522,7095,6975,7627,7556,7133,6236,8076
"total","May",9349,7343,7981,7337,7032,7434,6821,7007,7232,7022,7091,6697,7454,6765,6799,7248,6984,7291,6385,7137
"total","June",7167,6264,6500,6440,6487,6506,6201,6264,6280,6421,6139,6264,6422,6116,6583,6510,6568,6192,5693,5647
"total","July",6206,6760,5906,6080,6023,6029,5882,5821,6083,5751,5729,5830,6102,5850,6638,5832,6126,5483,5450,5590
"total","August",5656,6175,5295,5464,5610,5847,5822,5329,5886,5123,5270,5874,5405,5254,5667,5072,5335,5260,5830,5093
"total","September",5500,5870,5070,5183,5263,5542,5231,5331,5607,4801,5168,5279,5502,5126,5474,5295,5386,5127,8234,5083
"total","October",6001,5658,6020,6041,6004,6331,5857,5510,5683,5235,5989,6045,6198,5857,5954,5731,6157,5604,17278,6120
"total","November",6072,6575,6222,5963,6570,6276,5926,6016,6545,5874,6547,5864,6376,5629,6083,6355,5807,5625,16600,7289
"total","December",6754,7158,7641,6750,7133,6729,6918,7045,6516,6425,6988,6330,6651,6851,7447,7387,6574,6561,13045,7185
"total","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
