"Deaths by sex, month and year"

"sex","month","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879"
"men","January",3245,3403,3559,2980,3244,3491,4249,4188,3507,2944,3599,4089,3867,4393,3651,3530,4189,3784,4548,3818,3621,3066,3170,3821,4788,4241,4336,3811,3561
"men","February",3075,3624,4140,2625,3830,3429,3818,3502,3167,3048,3108,3613,3687,3547,3694,3332,3430,3535,4240,4187,3456,3027,3065,3845,4187,3751,3591,3373,3237
"men","March",4424,4149,4406,3184,3788,3908,4084,4274,3929,3351,3442,4256,4099,3907,3648,3974,4390,3835,5447,4133,3109,3461,3379,4493,4504,3875,4122,3734,3523
"men","April",4083,4323,3852,3464,3350,4170,4055,4119,3826,3278,3530,4342,3675,3804,3663,3821,4164,3926,5062,4089,3342,3272,3444,4180,4215,3879,3822,3790,3750
"men","May",3875,4151,3359,3205,3524,3983,4002,3680,3573,3095,3564,3701,3576,3821,3468,3837,4065,3944,4875,3820,3545,3040,3647,4666,4056,4031,4109,3848,3773
"men","June",2931,2940,2792,2474,2776,3170,3342,2917,2601,2619,2697,3132,3103,3141,3094,3255,3416,3287,3981,3378,2955,2576,2965,3911,3315,3390,3357,3349,3029
"men","July",2663,3017,2605,2483,2483,2740,3187,2728,2490,2341,2515,3089,2859,2897,3243,3133,2958,3577,3184,3010,2540,2895,2770,3518,3032,3093,3193,3098,2906
"men","August",2331,2899,3343,2740,2651,2429,4117,2719,2851,2289,2593,2818,2686,2849,2977,3529,2587,4083,2852,2898,2393,2695,2679,3044,2920,3015,2766,3102,2635
"men","September",2220,2911,5167,3205,3080,2610,7598,3084,3188,2315,2625,2779,2474,2718,2888,3682,2483,3454,2756,2638,2417,2457,2568,2845,2725,2954,2835,2834,2510
"men","October",2468,3088,3586,3422,3281,2918,5542,3081,3140,2619,2587,3232,2755,3193,3392,3263,2733,3554,3060,3032,2737,2603,2891,2841,3401,3355,3347,2954,2885
"men","November",2918,3474,2924,3306,3281,3580,3837,3125,3070,2971,3046,3469,2934,3562,3243,3353,3358,3825,3511,3040,2875,2803,3131,3494,3812,3988,3314,3304,3277
"men","December",3345,3371,3053,2918,3658,3841,3998,3090,3313,3459,3252,4070,3444,3633,3595,3728,4241,4357,3731,3762,3331,3260,3579,4294,4305,4358,3824,3747,3721
"men","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"women","January",3016,3160,3452,3106,3389,3614,4000,4592,3506,3019,3629,4158,3848,4823,3615,3306,4254,3730,4716,3858,3852,3063,3030,3732,5051,4324,4198,3958,3773
"women","February",2932,3313,4051,2711,3989,3542,3594,3694,3142,3061,2996,3711,3580,3532,3580,3325,3332,3332,4160,4255,3536,3103,3079,3661,4118,3763,3489,3420,3432
"women","March",4388,3877,4371,3171,3896,4103,3846,4386,3925,3268,3410,4201,4251,3794,3589,4067,4482,3577,5325,4344,3084,3601,3455,4170,4346,3770,3959,3805,3437
"women","April",3735,4076,3619,3344,3491,4137,3832,4057,3782,3048,3387,4308,3777,3676,3351,3590,4007,3747,4811,3925,3332,3134,3482,4087,3964,3627,3753,3757,3760
"women","May",3531,3693,3200,3046,3501,3995,3860,3474,3471,3009,3521,3527,3425,3712,3196,3599,3971,3570,4616,3532,3560,2771,3696,4426,3755,3942,3913,3727,3658
"women","June",2736,2542,2452,2468,2643,2879,3066,2582,2505,2275,2530,2906,2958,3014,2943,2865,3113,2900,3650,3191,2763,2367,2649,3531,2941,3165,3241,3118,2770
"women","July",2330,2546,2458,2141,2145,2485,2802,2394,2268,2049,2283,2897,2555,2643,2825,2750,2539,3205,2983,2615,2289,2532,2510,3201,2818,2923,2861,3052,2679
"women","August",2148,2732,3211,2465,2366,2276,3857,2478,2438,2245,2358,2683,2449,2585,2740,3115,2325,3731,2648,2487,2060,2277,2459,2921,2634,2758,2609,2978,2369
"women","September",2041,2707,4949,3076,2922,2378,7518,2788,2864,2236,2437,2619,2349,2494,2707,3313,2305,3313,2547,2441,2220,2362,2392,2757,2624,2666,2622,2691,2409
"women","October",2239,2976,3534,3274,3229,2694,5453,3116,3000,2624,2568,3224,2601,3135,3309,3208,2551,3383,2997,3074,2719,2408,2780,2696,3196,3235,3172,2987,2876
"women","November",2852,3686,2993,3170,3333,3587,3715,3291,2941,2943,2959,3502,2938,3562,3147,3401,3206,3679,3462,3097,3013,2730,3261,3536,3596,3916,3183,3266,3246
"women","December",2980,3432,2971,2868,3884,3659,4119,3139,3223,3396,3193,4024,3337,3502,3386,3690,3973,4464,3613,3825,3297,3299,3444,4090,4136,4315,3559,3715,3936
"women","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"total","January",6261,6563,7011,6086,6633,7105,8249,8780,7013,5963,7228,8247,7715,9216,7266,6836,8443,7514,9264,7676,7473,6129,6200,7553,9839,8565,8534,7769,7334
"total","February",6007,6937,8191,5336,7819,6971,7412,7196,6309,6109,6104,7324,7267,7079,7274,6657,6762,6867,8400,8442,6992,6130,6144,7506,8305,7514,7080,6793,6669
"total","March",8812,8026,8777,6355,7684,8011,7930,8660,7854,6619,6852,8457,8350,7701,7237,8041,8872,7412,10772,8477,6193,7062,6834,8663,8850,7645,8081,7539,6960
"total","April",7818,8399,7471,6808,6841,8307,7887,8176,7608,6326,6917,8650,7452,7480,7014,7411,8171,7673,9873,8014,6674,6406,6926,8267,8179,7506,7575,7547,7510
"total","May",7406,7844,6559,6251,7025,7978,7862,7154,7044,6104,7085,7228,7001,7533,6664,7436,8036,7514,9491,7352,7105,5811,7343,9092,7811,7973,8022,7575,7431
"total","June",5667,5482,5244,4942,5419,6049,6408,5499,5106,4894,5227,6038,6061,6155,6037,6120,6529,6187,7631,6569,5718,4943,5614,7442,6256,6555,6598,6467,5799
"total","July",4993,5563,5063,4624,4628,5225,5989,5122,4758,4390,4798,5986,5414,5540,6068,5883,5497,6782,6167,5625,4829,5427,5280,6719,5850,6016,6054,6150,5585
"total","August",4479,5631,6554,5205,5017,4705,7974,5197,5289,4534,4951,5501,5135,5434,5717,6644,4912,7814,5500,5385,4453,4972,5138,5965,5554,5773,5375,6080,5004
"total","September",4261,5618,10116,6281,6002,4988,15116,5872,6052,4551,5062,5398,4823,5212,5595,6995,4788,6767,5303,5079,4637,4819,4960,5602,5349,5620,5457,5525,4919
"total","October",4707,6064,7120,6696,6510,5612,10995,6197,6140,5243,5155,6456,5356,6328,6701,6471,5284,6937,6057,6106,5456,5011,5671,5537,6597,6590,6519,5941,5761
"total","November",5770,7160,5917,6476,6614,7167,7552,6416,6011,5914,6005,6971,5872,7124,6390,6754,6564,7504,6973,6137,5888,5533,6392,7030,7408,7904,6497,6570,6523
"total","December",6325,6803,6024,5786,7542,7500,8117,6229,6536,6855,6445,8094,6781,7135,6981,7418,8214,8821,7344,7587,6628,6559,7023,8384,8441,8673,7383,7462,7657
"total","Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,15,0,0,0,0,0,0,0,0,0,0,0
