sex,month,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
total,January,6261,6563,7011,6086,6633,7105,8249,8780,7013,5963,7228,8247,7715,9216,7266,6836,8443,7514,9264,7676,7473,6129,6200,7553,9839,8565,8534,7769,7334
total,February,6007,6937,8191,5336,7819,6971,7412,7196,6309,6109,6104,7324,7267,7079,7274,6657,6762,6867,8400,8442,6992,6130,6144,7506,8305,7514,7080,6793,6669
total,March,8812,8026,8777,6355,7684,8011,7930,8660,7854,6619,6852,8457,8350,7701,7237,8041,8872,7412,10772,8477,6193,7062,6834,8663,8850,7645,8081,7539,6960
total,April,7818,8399,7471,6808,6841,8307,7887,8176,7608,6326,6917,8650,7452,7480,7014,7411,8171,7673,9873,8014,6674,6406,6926,8267,8179,7506,7575,7547,7510
total,May,7406,7844,6559,6251,7025,7978,7862,7154,7044,6104,7085,7228,7001,7533,6664,7436,8036,7514,9491,7352,7105,5811,7343,9092,7811,7973,8022,7575,7431
total,June,5667,5482,5244,4942,5419,6049,6408,5499,5106,4894,5227,6038,6061,6155,6037,6120,6529,6187,7631,6569,5718,4943,5614,7442,6256,6555,6598,6467,5799
total,July,4993,5563,5063,4624,4628,5225,5989,5122,4758,4390,4798,5986,5414,5540,6068,5883,5497,6782,6167,5625,4829,5427,5280,6719,5850,6016,6054,6150,5585
total,August,4479,5631,6554,5205,5017,4705,7974,5197,5289,4534,4951,5501,5135,5434,5717,6644,4912,7814,5500,5385,4453,4972,5138,5965,5554,5773,5375,6080,5004
total,September,4261,5618,10116,6281,6002,4988,15116,5872,6052,4551,5062,5398,4823,5212,5595,6995,4788,6767,5303,5079,4637,4819,4960,5602,5349,5620,5457,5525,4919
total,October,4707,6064,7120,6696,6510,5612,10995,6197,6140,5243,5155,6456,5356,6328,6701,6471,5284,6937,6057,6106,5456,5011,5671,5537,6597,6590,6519,5941,5761
total,November,5770,7160,5917,6476,6614,7167,7552,6416,6011,5914,6005,6971,5872,7124,6390,6754,6564,7504,6973,6137,5888,5533,6392,7030,7408,7904,6497,6570,6523
total,December,6325,6803,6024,5786,7542,7500,8117,6229,6536,6855,6445,8094,6781,7135,6981,7418,8214,8821,7344,7587,6628,6559,7023,8384,8441,8673,7383,7462,7657
total,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,15,0,0,0,0,0,0,0,0,0,0,0
,,72506,80090,84047,70846,77734,79618,101491,80498,75720,67502,71829,84350,77227,81937,79216,82666,82072,87807,92775,82449,72046,68802,73525,87760,88439,86334,83175,81418,77152
