1851,72506
1852,80090
1853,84047
1854,70846
1855,77734
1856,79618
1857,101491
1858,80498
1859,75720
1860,67502
1861,71829
1862,84350
1863,77227
1864,81937
1865,79216
1866,82666
1867,82072
1868,87807
1869,92775
1870,82449
1871,72046
1872,68802
1873,73525
1874,87760
1875,88439
1876,86334
1877,83175
1878,81418
1879,77152
1880,82753
1881,80800
1882,79406
1883,79487
1884,81077
1885,82781
1886,78045
1887,76227
1888,75831
1889,76124
1890,81824
1891,80603
1892,85894
1893,81027
1894,79444
1895,74368
1896,77259
1897,76558
1898,75949
1899,89678
1900,86146
1901,82772
1902,79722
1903,78610
1904,80152
1905,82443
1906,76366
1907,78149
1908,80568
1909,74538
1910,77212
1911,76462
1912,79241
1913,76724
1914,78311
1915,83587
1916,77771
1917,77385
1918,104591
1919,84289
1920,78128
1921,73536
1922,76343
1923,68424
1924,72001
1925,70918
1926,71344
1927,77219
1928,73267
1929,74538
1930,71790
1931,77121
1932,71459
1933,69607
1934,69921
1935,72813
1936,74836
1937,75392
1938,72693
1939,72876
1940,72748
1941,71910
1942,63741
1943,66105
1944,72284
1945,71901
1946,70635
1947,73579
1948,67693
1949,69537
1950,70296
1951,69799
1952,68270
1953,69553
1954,69030
1955,68634
1956,70205
1957,73132
1958,71065
1959,70889
1960,75093
1961,73555
1962,76791
1963,76460
1964,76661
1965,78194
1966,78440
1967,79783
1968,82476
1969,83352
1970,80026
1971,82717
1972,84056
1973,85640
1974,86316
1975,88208
1976,90677
1977,88202
1978,89681
1979,91074
1980,91800
1981,92034
1982,90671
1983,90791
1984,90483
1985,94032
1986,93295
1987,93307
1988,96743
1989,92110
1990,95161
1991,95202
1992,94710
1993,97008
1994,91844
1995,93955
1996,94133
1997,93326
1998,93271
1999,94726
2000,93461
2001,93752
2002,95009
2003,92961
2004,90532
2005,91710
2006,91177
2007,91729
2008,91449
2009,90080
2010,90487
2011,89938
2012,91938
2013,90402
2014,88976
2015,90907
2016,90982
2017,91972
2018,92185
2019,88766
2020,98124
2021,91958
2022,94737
