Deaths by sex, month and year,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sex,month,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
total,January,7866,7303,6718,7382,7201,8597,7377,7554,7658,7088,6688,7184,7418,7406,7439,10364,7053,7745,7428,10999
total,February,7692,7174,6765,6733,7423,7572,6330,7170,8018,6615,6555,6830,7078,6970,6203,8201,6546,7339,5793,8289
total,March,8451,8354,7719,7665,8167,7923,6983,7759,7961,7329,7138,7052,7113,7805,7049,7965,7679,8025,6619,7781
total,April,9432,8138,7885,7572,7239,7657,7018,7343,7099,6854,7910,7213,7522,7095,6975,7627,7556,7133,6236,8076
total,May,9349,7343,7981,7337,7032,7434,6821,7007,7232,7022,7091,6697,7454,6765,6799,7248,6984,7291,6385,7137
total,June,7167,6264,6500,6440,6487,6506,6201,6264,6280,6421,6139,6264,6422,6116,6583,6510,6568,6192,5693,5647
total,July,6206,6760,5906,6080,6023,6029,5882,5821,6083,5751,5729,5830,6102,5850,6638,5832,6126,5483,5450,5590
total,August,5656,6175,5295,5464,5610,5847,5822,5329,5886,5123,5270,5874,5405,5254,5667,5072,5335,5260,5830,5093
total,September,5500,5870,5070,5183,5263,5542,5231,5331,5607,4801,5168,5279,5502,5126,5474,5295,5386,5127,8234,5083
total,October,6001,5658,6020,6041,6004,6331,5857,5510,5683,5235,5989,6045,6198,5857,5954,5731,6157,5604,17278,6120
total,November,6072,6575,6222,5963,6570,6276,5926,6016,6545,5874,6547,5864,6376,5629,6083,6355,5807,5625,16600,7289
total,December,6754,7158,7641,6750,7133,6729,6918,7045,6516,6425,6988,6330,6651,6851,7447,7387,6574,6561,13045,7185
total,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,86146,82772,79722,78610,80152,82443,76366,78149,80568,74538,77212,76462,79241,76724,78311,83587,77771,77385,104591,84289
