Deaths by sex, month and year,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
sex,month,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
total,January,9822,8274,8471,9317,8708,8217,8417,8431,8363,9395,8552,8634,8432,8789,8103,8665,8689,9282,8803,8372,8348,10180,9187
total,February,8181,7471,7447,7609,7363,7868,7358,7686,7551,7912,7313,7270,8384,7932,7407,8092,7811,8025,8337,7487,7541,7558,8227
total,March,8073,8313,9010,8304,7860,9333,8177,8736,8366,8023,8064,8139,8753,8565,7688,8666,8163,8248,9437,7791,8557,7809,8052
total,April,7506,7970,8148,7699,7249,7968,7387,7792,7842,7353,7505,7515,7707,7908,7212,7731,7545,7731,7797,7373,10555,7316,7313
total,May,7493,7900,7569,7271,7426,7430,7389,7251,7403,7346,7302,7306,7452,7196,7387,7351,7134,7488,6953,7147,8921,7265,7323
total,June,7032,7471,7054,6879,6976,7142,7156,7059,7072,6814,6854,6709,6790,6836,6816,6846,6703,6837,6663,6634,7440,6609,7033
total,July,7461,7643,7531,7456,7170,7186,7384,7201,7334,6922,7254,7190,7172,6931,7383,7120,7231,6927,7468,6944,7080,7021,7366
total,August,7256,7320,7610,7266,7208,7112,7316,7002,7039,6792,7010,7019,7070,6934,7195,6814,7157,6996,6971,7031,6968,7035,7568
total,September,7209,7282,7181,7222,6999,6892,7186,7178,7122,6707,7082,7101,6937,6842,6990,7006,6871,6913,6952,6855,6772,7161,7387
total,October,7437,7583,8070,7641,7494,7147,7540,7503,7379,7435,7454,7612,7484,7278,7453,7239,7484,7587,7440,7536,7281,7541,7593
total,November,7449,7705,7720,7387,7435,7143,7622,7476,7443,7386,7450,7191,7296,7238,7252,7343,7550,7482,7102,7438,8220,7632,7618
total,December,8159,8401,8797,8495,8298,8066,8086,8276,8423,7875,8602,8200,8439,7933,8068,7943,8458,8259,8014,7896,10187,8542,9795
total,Unknown,383,419,401,415,346,206,159,138,112,120,45,52,22,20,22,91,186,197,248,262,254,289,275
,,93461,93752,95009,92961,90532,91710,91177,91729,91449,90080,90487,89938,91938,90402,88976,90907,90982,91972,92185,88766,98124,91958,94737
