22.1.1.9. Number and rate of deaths, infant mortality, life expectancy at birth, deaths by main causes of death;;;;;;;;;;;;;;;
Year;Number of deaths;Deaths per thousand inhabitants;Infant mortality, per thousand live-born;Average life expectancy at birth, males;Average life expectancy at birth, females;Average life expectancy at birth, total;Deaths by main causes of death: infectious and parasitic diseases;Deaths by main causes of death: neoplasms;Deaths by main causes of death: diseases of the circulatory system;Deaths by main causes of death: diseases of the respiratory system;Deaths by main causes of death: diseases of the digestive system;Deaths by main causes of death: Covid-19;Deaths by main causes of death: accidents;Deaths by main causes of death: suicides;Deaths by main causes of death: other
1900;177 363;26,3;225,7;36,56;38,15;..;..;..;..;..;..;–;..;..;..
1910;168 875;22,3;196,1;39,07;40,48;..;..;..;..;..;..;–;..;..;..
1920;169 717;21,3;192,5;41,04;43,12;..;..;..;..;..;..;–;..;..;..
1930;134 341;15,5;152,5;48,70;51,80;..;23 266;8 888;..;..;..;–;2 456;2 680;..
1941;123 349;13,2;115,6;54,95;58,24;..;16 680;10 980;28 611;15 592;8 036;–;2 693;2 522;38 235
1949;105 718;11,4;91,0;59,28;63,40;61,36;11 801;12 238;28 220;11 259;5 913;–;2 655;2 213;31 419
1950;106 902;11,4;85,7;59,88;64,21;..;10 384;12 792;30 274;10 873;6 118;–;3 240;2 074;31 147
1951;109 998;11,7;83,9;60,05;64,66;..;10 488;12 945;32 585;10 362;6 204;–;3 449;2 204;31 761
1952;107 443;11,3;69,9;61,69;66,17;..;8 524;12 876;34 541;10 175;4 953;–;3 130;2 407;30 837
1953;112 039;11,7;70,8;61,87;65,94;..;7 580;12 926;36 446;11 741;5 399;–;3 232;1 999;32 716
1954;106 670;11,0;60,7;63,53;67,29;..;4 843;13 294;36 230;11 702;4 225;–;3 360;1 722;31 294
1955;97 848;10,0;60,0;64,77;68,67;..;4 773;14 385;34 962;9 280;4 716;–;3 384;2 015;24 333
1956;104 236;10,5;58,8;63,55;68,30;..;4 851;15 309;39 386;10 026;4 705;–;3 637;1 927;24 395
1957;103 645;10,5;63,1;63,99;68,42;..;4 701;15 816;39 862;11 986;4 815;–;3 630;2 134;20 701
1958;97 866;9,9;58,1;65,27;69,38;..;4 307;16 341;38 844;9 948;4 624;–;3 187;2 312;18 303
1959;103 880;10,5;52,4;65,01;69,48;..;4 099;17 133;43 079;11 465;4 414;–;3 438;2 560;17 692
1960;101 525;10,2;47,6;65,89;70,10;68,03;3 898;17 386;45 249;8 933;4 162;–;3 352;2 493;16 052
1961;96 410;9,6;44,1;66,71;71,09;..;3 546;17 781;44 864;5 687;4 102;–;3 497;2 552;14 381
1962;108 273;10,8;47,9;65,60;70,02;..;3 826;18 337;53 057;7 620;4 288;–;3 635;2 502;15 008
1963;99 871;9,9;42,9;66,61;71,20;..;3 256;18 460;49 241;4 880;4 148;–;4 259;2 699;12 928
1964;100 830;10,0;40,0;67,01;71,78;..;3 305;19 171;51 274;4 323;4 004;–;3 926;2 890;11 937
1965;108 119;10,7;38,8;66,71;71,54;..;3 099;19 822;56 293;5 568;4 224;–;4 089;3 029;11 995
1966;101 943;10,0;38,4;67,53;72,23;..;2 754;20 463;51 418;4 354;4 255;–;4 007;3 011;11 681
1967;109 530;10,7;37,0;66,92;72,04;..;2 821;20 998;56 459;5 126;4 420;–;4 255;3 200;12 251
1968;115 354;11,2;35,8;66,69;71,94;..;2 911;21 354;60 945;7 147;3 987;–;4 774;3 460;10 776
1969;116 659;11,4;35,7;66,68;72,00;..;2 826;21 919;63 305;5 890;4 090;–;5 070;3 411;10 148
1970;120 197;11,6;35,9;66,31;72,08;69,20;2 774;22 639;64 280;5 843;4 553;–;5 626;3 595;10 887
1971;123 009;11,9;35,1;66,11;72,04;..;2 535;23 638;65 576;6 227;4 667;–;5 935;3 737;10 694
1972;118 991;11,4;33,2;66,85;72,57;..;2 245;23 862;64 138;4 184;4 638;–;5 755;3 840;10 329
1973;123 366;11,8;33,8;66,65;72,49;..;2 283;24 515;66 286;5 158;4 970;–;5 745;3 845;10 564
1974;125 816;12,0;34,3;66,52;72,38;..;2 148;25 622;65 914;5 006;5 219;–;6 086;4 262;11 559
1975;131 102;12,4;32,8;66,29;72,42;..;1 969;25 972;67 919;7 174;5 439;–;6 343;4 052;12 234
1976;132 240;12,5;29,8;66,60;72,50;..;1 971;26 374;68 712;6 497;5 828;–;6 228;4 307;12 323
1977;132 031;12,4;26,2;66,67;72,99;..;1 720;26 547;67 899;7 247;5 865;–;6 747;4 292;11 714
1978;140 121;13,1;24,4;66,08;72,74;..;1 715;27 464;73 213;8 048;6 486;–;7 356;4 610;11 229
1979;136 829;12,8;24,0;66,12;73,03;..;1 511;27 313;71 923;7 242;6 620;–;7 176;4 770;10 274
1980;145 355;13,6;23,2;65,45;72,70;69,02;1 523;27 937;76 923;10 031;7 038;–;7 158;4 809;9 936
1981;144 757;13,5;20,8;65,46;72,86;..;1 409;28 263;77 307;8 334;7 499;–;7 381;4 880;9 684
1982;144 318;13,5;20,0;65,63;73,18;..;1 363;28 641;77 801;7 825;7 376;–;7 318;4 659;9 335
1983;148 643;13,9;19,0;65,08;72,99;..;1 377;28 826;79 355;8 758;8 106;–;7 716;4 911;9 594
1984;146 709;13,8;20,4;65,05;73,16;..;1 229;28 911;78 653;7 637;8 226;–;7 624;4 900;9 529
1985;147 614;14,0;20,4;65,09;73,07;..;1 103;28 893;79 725;7 565;8 044;–;8 217;4 725;9 342
1986;147 089;14,0;19,0;65,30;73,21;..;1 041;29 876;78 567;7 698;8 049;–;7 823;4 817;9 218
1987;142 601;13,6;17,3;65,67;73,74;..;976;30 210;75 536;6 335;7 985;–;7 879;4 782;8 898
1988;140 042;13,4;15,8;66,16;74,03;..;898;30 238;74 410;6 013;7 861;–;7 770;4 377;8 475
1989;144 695;13,9;15,7;65,44;73,79;..;1 001;30 834;75 690;6 916;8 939;–;8 297;4 396;8 622
1990;145 660;14,0;14,8;65,13;73,71;69,33;963;31 221;76 369;6 644;9 015;–;8 760;4 133;8 555
1991;144 813;14,0;15,6;65,02;73,83;69,32;940;31 736;75 841;6 252;9 188;–;8 399;3 993;8 464
1992;148 781;14,3;14,1;64,55;73,73;69,00;960;32 676;76 258;6 951;10 846;–;8 582;4 000;8 508
1993;150 244;14,5;12,5;64,53;73,81;69,02;966;32 541;77 373;7 077;11 968;–;8 088;3 694;8 537
1994;146 889;14,2;11,5;64,84;74,23;69,39;881;32 993;74 182;6 874;12 068;–;7 774;3 625;8 492
1995;145 431;14,1;10,7;65,25;74,50;69,76;819;33 265;73 797;6 447;11 822;–;7 596;3 369;8 316
1996;143 130;13,9;10,9;66,06;74,70;70,32;785;33 876;73 980;6 200;10 023;–;6 925;3 438;7 903
1997;139 434;13,5;9,9;66,35;75,08;70,66;731;33 837;71 309;5 850;9 936;–;6 596;3 214;7 961
1998;140 870;13,7;9,7;66,14;75,18;70,59;717;33 951;72 403;5 289;10 488;–;6 575;3 247;8 200
1999;143 210;14,0;8,4;66,32;75,13;70,67;748;34 255;73 334;6 208;10 305;–;6 523;3 328;8 509
2000;135 601;13,3;9,2;67,11;75,59;71,33;659;33 679;68 873;5 168;10 047;–;5 875;3 269;8 031
2001;132 183;13,0;8,1;68,15;76,46;72,32;611;33 757;67 423;4 334;9 548;–;6 063;2 979;7 468
2002;132 833;13,1;7,2;68,26;76,56;72,43;576;33 537;67 826;4 701;9 189;–;6 246;2 843;7 915
2003;135 823;13,4;7,3;68,29;76,53;72,43;499;34 062;69 050;5 439;9 445;–;6 303;2 801;8 224
2004;132 492;13,1;6,6;68,59;76,91;72,78;490;34 056;67 165;5 215;9 144;–;6 005;2 742;7 675
2005;135 732;13,5;6,2;68,56;76,93;72,76;501;32 057;70 938;6 502;8 504;–;5 078;2 621;9 531
2006;131 603;13,1;5,7;69,03;77,35;73,21;435;32 396;66 561;6 287;8 638;–;4 816;2 461;10 009
2007;132 938;13,2;5,9;69,19;77,34;73,30;480;32 747;66 547;6 771;8 814;–;4 663;2 450;10 466
2008;130 027;13,0;5,6;69,79;77,76;73,83;420;32 776;64 749;6 231;8 468;–;4 522;2 477;10 384
2009;130 414;13,0;5,1;70,05;77,89;74,03;493;33 174;64 921;6 466;8 217;–;4 401;2 461;10 281
2010;130 456;13,0;5,3;70,50;78,11;74,38;521;33 076;65 819;6 254;7 739;–;4 301;2 492;10 254
2011;128 795;12,9;4,9;70,93;78,23;74,67;616;33 274;64 250;6 594;7 306;–;3 948;2 422;10 385
2012;129 440;13,0;4,9;71,45;78,38;75,00;928;33 790;64 178;6 790;6 819;–;3 758;2 350;10 827
2013;126 778;12,8;5,1;72,01;78,73;75,47;904;33 274;62 979;7 009;6 390;–;3 654;2 093;10 475
2014;126 308;12,8;4,6;72,13;78,91;75,61;810;33 292;62 786;6 908;6 390;–;3 628;1 927;10 567
2015;131 697;13,4;4,2;72,09;78,61;75,44;882;33 321;65 493;8 503;6 362;–;3 751;1 870;11 515
2016;127 053;12,9;4,0;72,43;79,21;75,91;760;33 618;62 846;7 205;6 202;–;3 638;1 763;11 021
2017;131 674;13,5;3,6;72,40;78,99;75,77;727;33 548;65 598;8 148;6 264;–;3 849;1 634;11 906
2018;131 045;13,4;3,4;72,56;79,19;75,94;728;33 250;64 695;8 113;6 497;–;3 664;1 656;12 442
2019;129 603;13,3;3,8;72,86;79,33;76,16;686;32 638;63 609;8 315;6 354;–;3 576;1 550;12 875
2020;141 002;14,5;3,5;72,21;78,74;75,52;756;32 451;65 922;7 161;6 374;8 981;3 179;1 706;14 472
2021;155 621;16,0;3,3;70,69;77,52;74,10;899;31 365;65 845;6 737;6 737;24 838;3 367;1 561;14 272
2022;136 446;14,1;3,6;72,55;79,05;75,84;..;..;..;..;..;..;..;..;..
