1900,177363
1901,166662
1902,179260
1903,179518
1904,172704
1905,203516
1906,176938
1907,180216
1908,177872
1909,184445
1910,168875
1911,184009
1912,172148
1913,174241
1914,176574
1915,189418
1916,159810
1917,163507
1918,207395
1919,157392
1920,169717
1921,170059
1922,173351
1923,159287
1924,167668
1925,142150
1926,139905
1927,150675
1928,146496
1929,152847
1930,134341
1931,144968
1932,157106
1933,129913
1934,129049
1935,136923
1936,128333
1937,128049
1938,130628
1939,124591
1940,132735
1941,123349
1942,136844
1943,127158
1944,144048
1945,211323
1946,135486
1947,117537
1948,105780
1949,105718
1950,106902
1951,109998
1952,107443
1953,112039
1954,106670
1955,97848
1956,104236
1957,103645
1958,97866
1959,103880
1960,101525
1961,96410
1962,108273
1963,99871
1964,100830
1965,108119
1966,101943
1967,109530
1968,115354
1969,116659
1970,120197
1971,123009
1972,118991
1973,123366
1974,125816
1975,131102
1976,132240
1977,132031
1978,140121
1979,136829
1980,145355
1981,144757
1982,144318
1983,148643
1984,146709
1985,147614
1986,147089
1987,142601
1988,140042
1989,144695
1990,145660
1991,144813
1992,148781
1993,150244
1994,146889
1995,145431
1996,143130
1997,139434
1998,140870
1999,143210
2000,135601
2001,132183
2002,132833
2003,135823
2004,132492
2005,135732
2006,131603
2007,132938
2008,130027
2009,130414
2010,130456
2011,128795
2012,129440
2013,126778
2014,126308
2015,131697
2016,127053
2017,131674
2018,131045
2019,129603
2020,141002
2021,155621
2022,136446
