Source: Hungarian Central Statistical Office[76]
	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1000) 	Crude death rate (per 1000) 	Natural change (per 1000) 	Total fertility rates[fn 1][63][77]
1900 	6,854,000 	268,019 	177,363 	90,656 	39.4 	27.0 	12.4 	5.28
1901 		260,439 	166,662 	93,777 	37.6 	25.0 	12.6 	5.22
1902 		270,385 	179,260 	91,125 	38.6 	26.9 	11.7 	5.16
1903 		258,209 	179,518 	78,691 	36.5 	26.1 	10.4 	5.10
1904 		260,446 	172,704 	87,742 	37.0 	24.8 	12.2 	5.04
1905 		252,501 	203,516 	48,985 	35.5 	27.8 	7.7 	4.98
1906 		258,296 	176,938 	81,358 	36.1 	24.9 	11.2 	4.91
1907 		261,231 	180,216 	81,015 	36.2 	25.6 	10.6 	4.85
1908 		268,637 	177,872 	90,765 	36.7 	25.0 	11.7 	4.79
1909 		271,177 	184,445 	86,732 	37.1 	25.4 	11.7 	4.73
1910 	7,612,000 	265,457 	168,875 	96,582 	35.4 	23.4 	12.0 	4.67
1911 		261,375 	184,009 	77,366 	34.8 	24.8 	10.0 	4.59
1912 		270,804 	172,148 	98,656 	36.0 	23.0 	13.0 	4.50
1913 		264,418 	174,241 	90,177 	34.3 	23.2 	11.1 	4.42
1914 		270,690 	176,574 	94,116 	34.5 	23.4 	11.1 	4.34
1915 		187,734 	189,418 	-1,684 	23.7 	25.3 	-1.6 	4.26
1916 		135,443 	159,810 	-24,367 	16.8 	20.9 	-4.1 	4.17
1917 		130,817 	163,507 	-32,690 	16.0 	20.7 	-4.7 	4.09
1918 		127,894 	207,395 	-79,501 	15.3 	25.7 	-10.4 	4.01
1919 	7,860,000 	217,431 	157,392 	60,039 	27.6 	20.0 	7.6 	3.93
1920 	7,940,000 	249,458 	169,717 	79,741 	31.4 	21.4 	10.0 	3.84
1921 	8,020,000 	255,453 	170,059 	85,394 	31.8 	21.2 	10.6 	3.81
1922 	8,080,000 	249,279 	173,351 	75,928 	30.8 	21.4 	9.4 	3.60
1923 	8,170,000 	238,971 	159,287 	79,684 	29.2 	19.5 	9.8 	3.39
1924 	8,220,000 	221,462 	167,668 	53,794 	26.9 	20.4 	6.5 	3.18
1925 	8,300,000 	235,480 	142,150 	93,330 	28.3 	17.1 	11.2 	3.36
1926 	8,370,000 	229,484 	139,905 	89,579 	27.4 	16.7 	10.7 	3.24
1927 	8,490,000 	218,548 	150,675 	67,873 	25.8 	17.8 	8.0 	3.05
1928 	8,510,000 	224,693 	146,496 	78,197 	26.4 	17.2 	9.2 	3.08
1929 	8,580,000 	215,463 	152,847 	62,976 	25.1 	17.8 	7.3 	2.92
1930 	8,660,000 	219,784 	134,341 	85,443 	25.4 	15.5 	9.9 	2.84
1931 	8,730,000 	206,925 	144,968 	61,957 	23.7 	16.6 	7.1 	2.84
1932 	8,783,000 	205,529 	157,106 	48,423 	23.4 	17.9 	5.5 	2.78
1933 	8,845,000 	193,911 	129,913 	63,998 	21.9 	14.7 	7.2 	2.72
1934 	8,915,000 	194,279 	129,049 	65,230 	21.8 	14.5 	7.3 	2.57
1935 	8,980,000 	189,479 	136,923 	52,556 	21.1 	15.2 	5.9 	2.55
1936 	9,040,000 	183,369 	128,333 	55,036 	20.3 	14.2 	6.1 	2.48
1937 	9,100,000 	182,449 	128,049 	54,400 	20.0 	14.1 	6.0 	2.42
1938 	9,159,000 	182,206 	130,628 	51,578 	19.9 	14.3 	5.6 	2.46
1939 	9,217,000 	178,633 	124,591 	54,042 	19.4 	13.5 	5.9 	2.50
