1900,768917
1901,715036
1902,727181
1903,736311
1904,698604
1905,730340
1906,696875
1907,700333
1908,770054
1909,738460
1910,682459
1911,742811
1912,635788
1913,663966
1914,643355
1915,809703
1916,854703
1917,948710
1918,1268290
1919,676329
1920,681749
1921,670234
1922,690054
1923,654827
1924,663077
1925,669695
1926,680274
1927,639843
1928,645654
1929,667223
1930,576751
1931,609405
1932,610646
1933,574113
1934,563339
1935,594722
1936,593380
1937,618290
1938,614988
1939,591483
1940,606907
1941,621735
1942,643607
1943,679708
1944,685171
1945,615092
1946,547952
1947,524019
1948,490450
1949,485277
1950,455169
1951,485208
1952,488470
1953,484527
1954,445902
1955,449058
1956,499504
1957,483558
1958,459366
1959,454547
1960,480848
1961,460009
1962,503106
1963,514000
1964,488601
1965,516922
1966,493562
1967,507845
1968,530738
1969,530348
1970,528622
1971,515318
1972,518020
1973,544461
1974,532753
1975,556019
1976,556143
1977,547011
1978,539685
1979,541825
1980,559376
1981,540764
1982,537727
1983,563807
1984,535661
1985,549529
1986,545189
1987,534993
1988,537545
1989,531557
1990,544397
1991,547131
1992,545038
1993,555043
1994,557513
1995,555203
1996,557756
1997,564679
1998,576911
1999,571356
2000,560241
2001,548254
2002,557393
2003,586468
2004,546658
2005,567304
2006,557892
2007,570801
2008,585126
2009,591663
2010,587488
2011,593427
2012,612883
2013,600744
2014,598364
2015,647571
2016,615261
2017,649061
2018,633133
2019,634417
2020,740317
2021,701346
2022,713499
