	Average population 	Live births 	Deaths 	Natural change 	Crude birth rate (per 1,000) 	Crude death rate (per 1,000) 	Natural change (per 1,000) 	Total Fertility Rates[fn 1][46][55]
1900 	32,377,000 	1,067,376 	768,917 	298,459 	33.0 	23.7 	9.2 	4.53
1901 	32,550,000 	1,057,763 	715,036 	342,727 	32.5 	22.0 	10.5 	4.49
1902 	32,787,000 	1,093,074 	727,181 	365,893 	33.3 	22.2 	11.2 	4.46
1903 	33,004,000 	1,042,090 	736,311 	305,779 	31.6 	22.3 	9.3 	4.43
1904 	33,237,000 	1,085,431 	698,604 	386,827 	32.7 	21.0 	11.6 	4.44
1905 	33,489,000 	1,084,518 	730,340 	354,178 	32.4 	21.8 	10.6 	4.45
1906 	33,718,000 	1,070,978 	696,875 	374,103 	31.8 	20.7 	11.1 	4.45
1907 	33,952,000 	1,062,333 	700,333 	362,000 	31.3 	20.6 	10.7 	4.46
1908 	34,198,000 	1,138,813 	770,054 	368,759 	33.3 	22.5 	10.8 	4.47
1909 	34,455,000 	1,115,831 	738,460 	377,371 	32.4 	21.4 	11.0 	4.43
1910 	34,751,000 	1,144,410 	682,459 	461,951 	32.9 	19.6 	13.3 	4.39
1911 	35,033,000 	1,093,545 	742,811 	350,734 	31.2 	21.2 	10.0 	4.36
1912 	35,246,000 	1,133,985 	635,788 	498,197 	32.2 	18.0 	14.1 	4.32
1913 	35,351,000 	1,122,482 	663,966 	458,516 	31.8 	18.8 	13.0 	4.28
1914 	35,701,000 	1,114,091 	643,355 	470,736 	31.2 	18.0 	13.2 	4.04
1915 	36,271,000 	1,109,183 	809,703 	299,480 	30.6 	22.3 	8.3 	3.80
1916 	36,481,000 	881,626 	854,703 	26,923 	24.2 	23.4 	0.7 	3.56
1917 	36,343,000 	691,207 	948,710 	-257,503 	19.6 	26.1 	-7.1 	3.32
1918 	35,922,000 	640,263 	1,268,290 	-628,027 	18.2 	35.3 	-17.5 	3.08
1919 	35,717,000 	770,620 	676,329 	94,291 	21.6 	18.9 	2.6 	3.24
1920 	35,960,000 	1,158,041 	681,749 	476,292 	32.2 	19.0 	13.2 	3.41
1921 	37,869,000 	1,118,344 	670,234 	448,110 	30.7 	17.7 	13.0 	3.57
1922 	38,196,000 	1,127,444 	690,054 	437,390 	30.8 	18.1 	12.7 	3.74
1923 	38,571,000 	1,107,505 	654,827 	452,678 	29.9 	17.0 	11.7 	3.90
1924 	38,927,000 	1,124,470 	663,077 	461,393 	28.9 	17.0 	11.9 	3.81
1925 	39,265,000 	1,109,761 	669,695 	440,066 	28.2 	17.1 	11.2 	3.72
1926 	39,590,000 	1,094,587 	680,274 	414,313 	27.7 	17.2 	10.5 	3.64
1927 	39,926,000 	1,093,772 	639,843 	453,929 	27.4 	16.0 	11.4 	3.55
1928 	40,281,000 	1,072,316 	645,654 	426,662 	26.6 	16.0 	10.6 	3.46
1929 	40,607,000 	1,037,700 	667,223 	370,477 	25.6 	16.4 	9.1 	3.42
1930 	40,956,000 	1,092,678 	576,751 	515,927 	26.7 	14.1 	12.6 	3.38
1931 	41,339,000 	1,026,197 	609,405 	416,792 	24.8 	14.7 	10.1 	3.21
1932 	41,584,000 	990,995 	610,646 	380,349 	23.8 	14.7 	9.1 	3.06
1933 	41,928,000 	995,979 	574,113 	421,866 	23.8 	13.7 	10.1 	3.04
1934 	42,277,000 	992,966 	563,339 	429,627 	23.5 	13.3 	10.2 	3.00
1935 	42,631,000 	996,708 	594,722 	401,986 	23.4 	14.0 	9.4 	2.98
1936 	42,965,000 	962,686 	593,380 	369,306 	22.4 	13.8 	8.6 	2.87
1937 	43,269,000 	991,867 	618,290 	373,577 	22.9 	14.3 	8.6 	2.93
1938 	43,596,000 	1,037,180 	614,988 	422,192 	23.8 	14.1 	9.7 	3.05
1939 	44,018,000 	1,040,213 	591,483 	448,730 	23.6 	13.4 	10.2 	3.07
1940 	44,467,000 	1,046,479 	606,907 	439,572 	23.5 	13.6 	9.9 	3.07
1941 	44,830,000 	937,546 	621,735 	315,811 	20.9 	13.9 	7.0 	2.74
1942 	45,098,000 	926,063 	643,607 	282,456 	20.5 	14.3 	6.3 	2.69
1943 	44,641,000 	882,105 	679,708 	202,397 	19.8 	15.2 	4.5 	2.61
1944 	44,794,000 	814,746 	685,171 	129,575 	18.3 	15.3 	2.9 	2.39
1945 	44,946,000 	815,678 	615,092 	200,586 	18.2 	13.7 	4.5 	2.37
1946 	45,253,000 	1,036,098 	547,952 	488,146 	23.0 	12.1 	10.8 	3.01
1947 	45,641,000 	1,011,490 	524,019 	487,471 	22.2 	11.5 	10.8 	2.89
1948 	46,381,000 	1,005,851 	490,450 	515,401 	21.8 	10.6 	11.2 	2.83
1949 	46,733,000 	937,146 	485,277 	451,869 	20.1 	10.4 	9.7 	2.62
1950 	47,104,000 	908,622 	455,169 	453,453 	19.3 	9.7 	9.6 	2.50
1951 	47,417,000 	860,998 	485,208 	375,790 	18.2 	10.2 	7.9 	2.35
1952 	47,666,000 	863,661 	488,470 	375,191 	17.7 	10.0 	7.7 	2.34
1953 	47,957,000 	860,345 	484,527 	375,818 	17.5 	9.9 	7.6 	2.31
1954 	48,299,000 	881,845 	445,902 	435,943 	18.0 	9.1 	8.9 	2.35
1955 	48,633,000 	879,130 	449,058 	430,072 	17.9 	9.2 	8.7 	2.33
1956 	48,920,000 	884,043 	499,504 	384,539 	17.9 	10.2 	7.7 	2.34
1957 	49,181,000 	885,812 	483,558 	402.254 	17.9 	9.8 	8.0 	2.33
1958 	49,475,000 	880,361 	459,366 	420,995 	17.6 	9.3 	8.3 	2.31
1959 	49,831,000 	910,628 	454,547 	456,081 	18.1 	9.1 	9.0 	2.38
1960 	50,198,000 	923,004 	480,848 	442,156 	18.1 	9.6 	8.6 	2.41
1961 	50,523,000 	924,203 	460,009 	464,194 	18.4 	9.3 	9.1 	2.41
1962 	50,843,000 	945,842 	503,106 	442,736 	18.4 	10.0 	8.4 	2.46
1963 	51,198,000 	978,143 	514,000 	464,143 	18.8 	10.1 	8.7 	2.56
1964 	51,600,000 	1,035,207 	488,601 	546,606 	19.7 	9.5 	10.2 	2.70
1965 	51,987,000 	1,017,944 	516,922 	501,022 	19.1 	10.0 	9.1 	2.66
1966 	52,332,000 	999,316 	493,562 	505,754 	18.7 	9.5 	9.2 	2.63
1967 	52,667,000 	962,197 	507,845 	454,352 	18.0 	9.7 	8.3 	2.54
1968 	52,987,000 	944,837 	530,738 	414,099 	17.6 	10.1 	7.5 	2.49
1969 	53,317,000 	949,155 	530,348 	418,807 	17.5 	10.1 	7.4 	2.51
1970 	53,661,000 	917,496 	528,622 	388,874 	16.8 	9.7 	7.1 	2.43
1971 	54,074,000 	911,084 	515,318 	395,766 	16.8 	9.7 	7.1 	2.41
1972 	54,381,000 	893,061 	518,020 	375,041 	16.3 	9.6 	6.7 	2.36
1973 	54,751,000 	887,953 	544,461 	343,492 	16.0 	10.0 	6.0 	2.34
1974 	55,111,000 	886,310 	532,753 	353,557 	15.8 	9.7 	6.1 	2.33
1975 	55,441,000 	841,858 	556,019 	285,839 	14.9 	10.0 	4.9 	2.21
1976 	55,718,000 	806,358 	556,143 	250,215 	14.0 	9.9 	4.1 	2.11
1977 	55,955,000 	757,281 	547,011 	210,270 	13.2 	9.8 	3.5 	1.97
1978 	56,155,000 	720,545 	539,685 	180,860 	12.6 	9.6 	3.0 	1.87
1979 	56,318,000 	682,742 	541,825 	140,917 	11.9 	9.6 	2.3 	1.76
1980 	56,434,000 	657,278 	559,376 	97,902 	11.3 	9.8 	1.5 	1.68
1981 	56,502,000 	628,113 	540,764 	87,349 	11.0 	9.7 	1.4 	1.60
1982 	56,544,000 	634,678 	537,727 	96,951 	10.9 	9.5 	1.5 	1.60
1983 	56,564,000 	612,936 	563,807 	49,129 	10.6 	10.0 	0.7 	1.54
1984 	56,577,000 	597,560 	535,661 	61,899 	10.4 	9.5 	0.9 	1.48
1985 	56,593,000 	589,233 	549,529 	39,704 	10.2 	9.7 	0.5 	1.45
1986 	56,596,000 	562,512 	545,189 	17,323 	9.8 	9.5 	0.3 	1.37
1987 	56,602,000 	560,265 	534,993 	25,272 	9.7 	9.3 	0.5 	1.35
1988 	56,629,000 	577,856 	537,545 	40,311 	10.1 	9.5 	0.5 	1.38
1989 	56,672,000 	567,268 	531,557 	35,711 	9.9 	9.4 	0.5 	1.35
1990 	56,719,000 	580,761 	544,397 	36,364 	10.0 	9.6 	0.5 	1.36
1991 	56,751,000 	556,175 	547,131 	9,044 	9.9 	9.8 	0.2 	1.33
1992 	56,797,000 	575,216 	545,038 	30,178 	10.0 	9.6 	0.4 	1.31
1993 	56,832,000 	552,587 	555,043 	-2,456 	9.7 	9.7 	-0.1 	1.26
1994 	56,843,000 	536,665 	557,513 	-20,848 	9.4 	9.8 	-0.4 	1.22
1995 	56,844,000 	526,064 	555,203 	-29.139 	9.2 	9.8 	-0.5 	1.19
1996 	56,860,000 	536,740 	557,756 	-21,016 	9.3 	9.8 	-0.5 	1.22
1997 	56,890,000 	540,048 	564,679 	-24,631 	9.4 	9.9 	-0.5 	1.23
1998 	56,907,000 	532,843 	576,911 	-44,068 	9.3 	10.1 	-0.8 	1.21
1999 	56,917,000 	537,242 	571,356 	-34.114 	9.4 	10.0 	-0.5 	1.23
2000 	56,942,000 	543,039 	560,241 	-17,202 	9.5 	9.8 	-0.3 	1.26
2001 	56,960,000 	535,282 	548,254 	-12.972 	9.4 	9.8 	-0.4 	1.25
2002 	56,993,270 	538,198 	557,393 	-19,195 	9.4 	9.8 	-0.4 	1.27
2003 	57,186,378 	544,063 	586,468 	-42,405 	9.5 	10.3 	-0.7 	1.29
2004 	57,611,990 	562,599 	546,658 	15,941 	9.8 	9.5 	0.3 	1.34
2005 	58,044,368 	554,022 	567,304 	-13.282 	9.5 	9.8 	-0.2 	1.34
2006 	58,288,996 	560,010 	557,892 	2,118 	9.6 	9.6 	0.0 	1.37
2007 	58,510,725 	563,933 	570,801 	-6.868 	9.6 	9.8 	-0.2 	1.40
2008 	59,001,769 	576,659 	585,126 	-8,467 	9.8 	9.9 	-0.1 	1.45
2009 	59,420,592 	568,857 	591,663 	-22.806 	9.6 	9.8 	-0.3 	1.45
2010 	59,690,316 	561,944 	587,488 	-25.544 	9.4 	9.7 	-0.3 	1.46
2011 	59,948,497 	546,585 	593,402 	-46,817 	9.1 	9.9 	-0.8 	1.44
2012 	60,105,185 	534,186 	612,883 	-78,697 	8.9 	10.2 	-1.3 	1.42
2013 	60,277,309 	514,308 	600,744 	-86,436 	8.5 	10.0 	-1.4 	1.39
2014 	60,345,917 	502,596 	598,364 	-95,768 	8.3 	9.9 	-1.6 	1.37
2015 	60,295,497 	485,780 	647,571 	-161,791 	8.1 	10.7 	-2.7 	1.35
2016 	60,163,712 	473,438 	615,261 	-141,823 	7.9 	10.2 	-2.4 	1.34
2017 	60,066,734 	458,151 	649,061 	-190,910 	7.6 	10.8 	-3.2 	1.32
2018 	59,937,769 	439,747 	633,133 	-193,386 	7.3 	10.6 	-3.2 	1.29
2019 	59,816,673 	420,084 	634,417 	-214,333 	7.0 	10.6 	-3.6 	1.27
2020 	59,641,488 	404,892 	740,317 	-335,425 	6.8 	12.4 	-5.6 	1.24
2021 	59,236,213 	400,249 	701,346 	-301,097 	6.8 	11.8 	-5.2 	1.25
2022 	59,030,133 	392,598 	713,499 	-320,901 	6.7 	12.1 	-5.4 	1.24
