1946,94077
1947,90027
1948,84213
1949,89247
1950,85710
1951,88253
1952,83372
1953,83399
1954,84632
1955,84995
1956,86824
1957,89298
1958,85980
1959,87970
1960,89603
1961,85673
1962,90854
1963,91579
1964,89081
1965,94273
1966,91440
1967,95438
1968,96014
1969,98715
1970,98819
1971,97334
1972,95323
1973,92768
1974,94324
1975,96041
1976,95140
1977,92402
1978,94617
1979,92012
1980,92442
1981,92693
1982,91339
1983,93041
1984,88466
1985,89578
1986,87071
1987,84907
1988,83263
1989,83407
1990,82952
1991,83428
1992,83162
1993,82517
1994,80684
1995,81171
1996,80790
1997,79432
1998,78339
1999,78200
2000,76780
2001,74767
2002,76131
2003,77209
2004,74292
2005,75189
2006,74295
2007,74625
2008,75083
2009,77381
2010,77199
2011,76479
2012,79436
2013,79526
2014,78252
2015,83073
2016,80669
2017,83270
2018,83975
2019,83386
2020,91599
2021,91962
2022,93332
