1950,3682
1951,4416
1952,3859
1953,4775
1954,3862
1955,3935
1956,3871
1957,4172
1958,3537
1959,3469
1960,3583
1961,3335
1962,3747
1963,3454
1964,3550
1965,3431
1966,3199
1967,3385
1968,3429
1969,3325
1970,3516
1971,3264
1972,3512
1973,3304
1974,3199
1975,3279
1976,3465
1977,3559
1978,3660
1979,3826
1980,3703
1981,3680
1982,3618
1983,4194
1984,3915
1985,3926
1986,3922
1987,3990
1988,3661
1989,3833
1990,3936
1991,3970
1992,4393
1993,4471
1994,4660
1995,4931
1996,4982
1997,5153
1998,5312
1999,5393
2000,5412
2001,5431
2002,5513
2003,5704
2004,5707
2005,5839
2006,5968
2007,5979
2008,5708
2009,5862
2010,5633
2011,5847
2012,5922
2013,5917
2014,6014
2015,6329
2016,6464
2017,6523
2018,6504
2019,6595
2020,7293
2021,9152
2022,7068
