1946,134568
1947,105277
1948,101501
1949,104632
1950,103203
1951,102658
1952,97726
1953,98837
1954,99636
1955,93300
1956,93526
1957,98687
1958,93697
1959,97159
1960,93863
1961,94973
1962,104318
1963,100129
1964,101984
1965,105108
1966,105784
1967,108967
1968,115195
1969,120653
1970,123327
1971,122375
1972,119205
1973,124437
1974,126809
1975,124314
1976,125232
1977,126214
1978,127136
1979,127949
1980,135537
1981,130407
1982,130765
1983,134474
1984,132188
1985,131641
1986,132585
1987,127244
1988,125694
1989,127747
1990,129166
1991,124290
1992,120337
1993,118185
1994,117373
1995,117913
1996,112782
1997,112744
1998,109527
1999,109768
2000,109001
2001,107755
2002,108243
2003,111288
2004,107177
2005,107938
2006,104441
2007,104636
2008,104948
2009,107421
2010,106844
2011,106848
2012,108189
2013,109160
2014,105665
2015,111173
2016,107750
2017,111443
2018,112920
2019,112362
2020,129289
2021,139891
2022,120219
