1946,42013
1947,40043
1948,35981
1949,37793
1950,39300
1951,37960
1952,39173
1953,39350
1954,39885
1955,38789
1956,39588
1957,41730
1958,41560
1959,42159
1960,43681
1961,43310
1962,45334
1963,45773
1964,46811
1965,47884
1966,49344
1967,47836
1968,47290
1969,47943
1970,48233
1971,48858
1972,50445
1973,50526
1974,51637
1975,50895
1976,54001
1977,50485
1978,52864
1979,54654
1980,55939
1981,56359
1982,55368
1983,57156
1984,57109
1985,58378
1986,58100
1987,58136
1988,58984
1989,59397
1990,60926
1991,59581
1992,60821
1993,62809
1994,61099
1995,63127
1996,61043
1997,59898
1998,58453
1999,59179
2000,57998
2001,58355
2002,58610
2003,57574
2004,55806
2005,54962
2006,55477
2007,55604
2008,54591
2009,54872
2010,54368
2011,52516
2012,52325
2013,52471
2014,51340
2015,52555
2016,52824
2017,53261
2018,55232
2019,53958
2020,54645
2021,57152
2022,59435
