1950,27000
1951,26900
1952,26600
1953,26300
1954,26000
1955,25700
1956,26500
1957,27000
1958,27400
1959,27400
1960,27015
1961,27621
1962,30394
1963,29620
1964,29708
1965,31291
1966,30389
1967,32904
1968,32416
1969,35169
1970,34283
1971,35325
1972,36409
1973,35911
1974,37145
1975,39292
1976,38875
1977,40139
1978,40239
1979,41907
1980,43346
1981,43961
1982,42734
1983,43301
1984,45787
1985,46153
1986,46354
1987,46332
1988,47544
1989,47077
1990,50721
1991,52416
1992,55076
1993,56270
1994,50326
1995,49219
1996,48251
1997,48026
1998,47907
1999,47909
2000,48250
2001,47133
2002,47514
2003,47114
2004,49746
2005,49534
2006,50014
2007,50204
2008,50490
2009,50794
2010,51066
2011,49818
2012,49347
2013,48564
2014,49087
2015,49121
2016,50771
2017,47822
2018,46524
2019,46659
2020,50537
2021,59906
2022,49118
