1946,139
1947,174
1948,135
1949,131
1950,105
1951,114
1952,132
1953,137
1954,127
1955,125
1956,133
1957,127
1958,142
1959,127
1960,123
1961,131
1962,166
1963,146
1964,148
1965,156
1966,152
1967,158
1968,148
1969,168
1970,163
1971,186
1972,149
1973,178
1974,147
1975,179
1976,178
1977,148
1978,163
1979,173
1980,175
1981,161
1982,167
1983,151
1984,177
1985,171
1986,188
1987,180
1988,195
1989,172
1990,195
1991,187
1992,180
1993,178
1994,206
1995,225
1996,230
1997,230
1998,208
1999,206
2000,239
2001,220
2002,215
2003,217
2004,198
2005,215
2006,220
2007,227
2008,205
2009,229
2010,238
2011,248
2012,224
2013,246
2014,268
2015,252
2016,271
2017,249
2018,274
2019,263
2020,319
2021,271
2022,279
