1950,3401
1951,4356
1952,3557
1953,3737
1954,3421
1955,3453
1956,3878
1957,3811
1958,3512
1959,3607
1960,3716
1961,3616
1962,4037
1963,3929
1964,3857
1965,4057
1966,4050
1967,4124
1968,4098
1969,4193
1970,4154
1971,4387
1972,4121
1973,4192
1974,4315
1975,4370
1976,4507
1977,4083
1978,4187
1979,3985
1980,4113
1981,4105
1982,4133
1983,4129
1984,4072
1985,4027
1986,3970
1987,4012
1988,3840
1989,3984
1990,3773
1991,3744
1992,4021
1993,3915
1994,3800
1995,3797
1996,3895
1997,3937
1998,3901
1999,3793
2000,3754
2001,3719
2002,3744
2003,4053
2004,3578
2005,3621
2006,3766
2007,3866
2008,3595
2009,3655
2010,3760
2011,3819
2012,3876
2013,3822
2014,3841
2015,3983
2016,3967
2017,4263
2018,4318
2019,4283
2020,4609
2021,4489
2022,4449
