1946,1001331
1947,932628
1948,804839
1949,770852
1950,748329
1951,752697
1952,767639
1953,790654
1954,775291
1955,795938
1956,812111
1957,840195
1958,818418
1959,835402
1960,876721
1961,850300
1962,878814
1963,895070
1964,870319
1965,907882
1966,911984
1967,914417
1968,976521
1969,988092
1970,975664
1971,965623
1972,965689
1973,962988
1974,956573
1975,989649
1976,966873
1977,931155
1978,955550
1979,944474
1980,952371
1981,954436
1982,943832
1983,941032
1984,917299
1985,929649
1986,925426
1987,901291
1988,900627
1989,903441
1990,921445
1991,911245
1992,885443
1993,897270
1994,884661
1995,884588
1996,882843
1997,860389
1998,852382
1999,846330
2000,838797
2001,828541
2002,841686
2003,853946
2004,818271
2005,830227
2006,821627
2007,827155
2008,844439
2009,854544
2010,858768
2011,852328
2012,869582
2013,893825
2014,868356
2015,925200
2016,910902
2017,932272
2018,954874
2019,939520
2020,985572
2021,1023687
2022,1066341
