1946,296439
1947,349331
1948,248238
1949,219881
1950,202010
1951,210021
1952,195287
1953,194752
1954,195091
1955,167535
1956,174847
1957,181923
1958,156493
1959,186767
1960,160720
1961,161936
1962,172429
1963,155767
1964,152476
1965,163393
1966,157445
1967,179129
1968,188509
1969,201225
1970,193255
1971,194306
1972,189793
1973,203559
1974,191286
1975,197538
1976,204873
1977,208685
1978,211846
1979,217509
1980,231876
1981,224635
1982,224120
1983,233892
1984,233699
1985,246670
1986,242330
1987,254286
1988,253370
1989,247306
1990,247086
1991,251760
1992,263855
1993,263323
1994,266101
1995,271672
1996,286158
1997,279315
1998,269166
1999,265194
2000,255820
2001,259603
2002,269666
2003,266575
2004,258890
2005,262101
2006,258094
2007,251965
2008,253202
2009,257213
2010,259723
2011,251439
2012,255539
2013,250466
2014,255604
2015,262981
2016,258896
2017,262811
2018,265494
2019,261445
2020,298651
2021,336063
2022,272483
