1950,76851
1951,80034
1952,67870
1953,68168
1954,62610
1955,65179
1956,67105
1957,61885
1958,55564
1959,60850
1960,61872
1961,57990
1962,62830
1963,57778
1964,62100
1965,58856
1966,55471
1967,62915
1968,60932
1969,68152
1970,67211
1971,65872
1972,70822
1973,67152
1974,66457
1975,69590
1976,68565
1977,68924
1978,71986
1979,72306
1980,76180
1981,78086
1982,78473
1983,83506
1984,82742
1985,81836
1986,83977
1987,83426
1988,83616
1989,85256
1990,85515
1991,89072
1992,93475
1993,95121
1994,93011
1995,93933
1996,98370
1997,98068
1998,99376
1999,101444
2000,104042
2001,99008
2002,102785
2003,103946
2004,104320
2005,106771
2006,102884
2007,102805
2008,102711
2009,104000
2010,103211
2011,102935
2012,102400
2013,100300
2014,101247
2015,103678
2016,100834
2017,103722
2018,101655
2019,101458
2020,116850
2021,136622
2022,109203
