1950,17335
1951,18497
1952,15617
1953,14948
1954,14897
1955,15109
1956,16351
1957,14545
1958,14082
1959,15357
1960,15145
1961,14013
1962,15866
1963,15102
1964,16729
1965,15987
1966,15248
1967,16353
1968,17446
1969,18565
1970,17353
1971,17425
1972,18153
1973,17614
1974,17206
1975,18180
1976,18157
1977,17633
1978,18357
1979,18148
1980,18820
1981,18733
1982,19647
1983,20703
1984,20214
1985,19854
1986,19499
1987,19837
1988,19126
1989,18669
1990,18555
1991,19324
1992,19333
1993,20012
1994,19359
1995,18968
1996,18620
1997,18928
1998,19039
1999,18885
2000,18588
2001,18508
2002,18701
2003,19451
2004,18523
2005,18825
2006,18180
2007,18584
2008,18308
2009,18750
2010,18609
2011,18699
2012,19257
2013,19334
2014,18886
2015,19834
2016,19689
2017,20509
2018,20485
2019,20588
2020,24016
2021,23261
2022,22492
