1946,70635
1947,73579
1948,67693
1949,69537
1950,70296
1951,69799
1952,68270
1953,69553
1954,69030
1955,68634
1956,70205
1957,73132
1958,71065
1959,70889
1960,75093
1961,73555
1962,76791
1963,76460
1964,76661
1965,78194
1966,78440
1967,79783
1968,82476
1969,83352
1970,80026
1971,82717
1972,84056
1973,85640
1974,86316
1975,88208
1976,90677
1977,88202
1978,89681
1979,91074
1980,91800
1981,92034
1982,90671
1983,90791
1984,90483
1985,94032
1986,93295
1987,93307
1988,96743
1989,92110
1990,95161
1991,95202
1992,94710
1993,97008
1994,91844
1995,93955
1996,94133
1997,93326
1998,93271
1999,94726
2000,93461
2001,93752
2002,95009
2003,92961
2004,90532
2005,91710
2006,91177
2007,91729
2008,91449
2009,90080
2010,90487
2011,89938
2012,91938
2013,90402
2014,88976
2015,90907
2016,90982
2017,91972
2018,92185
2019,88766
2020,98124
2021,91958
2022,94737
