Alabama,53102,62550,9448,17.81,,90541.67,52,Alabama
Alaska,4396,4971,575,12.77,,126670.83,52,Alaska
Arizona,59973,75955,15982,26.44,,97741.67,52,Arizona
Arkansas,31964,37432,5468,16.99,,97425.00,52,Arkansas
Connecticut,31561,37730,6169,19.41,,155937.50,52,Connecticut
Delaware,9336,10862,1526,16.55,,152100.00,52,Delaware
Dystrykt Kolumbii,6045,7378,1333,22.36,,149141.67,52,District of Columbia
Floryda,206587,240765,34178,16.48,,121900.00,52,Florida
Georgia,85607,102464,16857,19.63,,107437.50,52,Georgia
Hawaje,11543,11990,447,3.83,,175729.17,52,Hawaii
Idaho,14199,16340,2141,14.99,,107183.33,52,Idaho
Illinois,105934,127440,21506,20.40,,129066.67,52,Illinois
Indiana,66148,78293,12145,18.34,,109575.00,52,Indiana
Iowa,30331,35418,5087,16.65,,69541.67,52,Iowa
Kalifornia,268460,315430,46970,17.48,,157329.17,52,California
Kansas,26500,30773,4273,16.05,,110983.33,52,Kansas
Kentucky,48346,55145,6799,14.00,,141675.00,52,Kentucky
Kolorado,39465,47161,7696,19.28,,121954.17,52,Colorado
Luizjana,45999,56320,10321,22.46,,123854.17,52,Louisiana
Maine,14663,15504,841,5.68,,162891.67,52,Maine
Maryland,50125,59048,8923,17.76,,148570.83,52,Maryland
Massachusetts,59532,68390,8858,14.95,,152241.67,52,Massachusetts
Michigan,97316,114510,17194,17.65,,138583.33,52,Michigan
Minnesota,44901,51732,6831,15.11,,129537.50,52,Minnesota
Mississippi,31764,38825,7061,22.11,,103054.17,52,Mississippi
Missouri,64941,75514,10573,16.38,,100500.00,52,Missouri
Montana,10167,11903,1736,16.72,,114129.17,52,Montana
Nebraska,17121,19547,2426,14.16,,106075.00,52,Nebraska
Nevada,25774,31006,5232,19.95,,123425.00,52,Nevada
New Hampshire,12411,13435,1024,8.28,,108683.33,52,New Hampshire
New Jersey,74189,94620,20431,27.66,,130208.33,52,New Jersey
Nowy Jork,100181,118274,18093,18.08,,181979.17,52,New York
Nowy Meksyk,18569,22842,4273,22.75,,180341.67,52,New Mexico
Ohio,123753,142211,18458,14.97,,145037.50,52,Ohio
Oklahoma,39684,45814,6130,15.48,,76333.33,52,Oklahoma
Oregon,36657,39947,3290,8.83,,130087.50,52,Oregon
Pennsylwania,135141,154622,19481,14.46,,131291.67,52,Pennsylvania
Południowa Dakota,8227,10052,1825,21.80,,44970.83,52,South Dakota
Południowa Karolina,49602,59676,10074,20.23,,98008.33,52,South Carolina
Północna Dakota,7182,8793,1611,21.87,,69970.83,52,North Dakota
Północna Karolina,95381,108916,13535,14.05,,148354.17,52,North Carolina
Rhode Island,10490,12054,1564,14.82,,167225.00,52,Rhode Island
Teksas,204444,250917,46473,22.66,,128254.17,52,Texas
Tennessee,75041,87418,12377,16.39,,110820.83,52,Tennessee
Utah,19130,22027,2897,14.99,,87212.50,52,Utah
Vermont,5704,6115,411,7.29,,144033.33,52,Vermont
Waszyngton,57307,62558,5251,9.07,,142295.83,52,Washington
Wirginia,68700,78680,9980,14.43,,117616.67,52,Virginia
Wirginia Zachodnia,22830,25323,2493,10.93,,116000.00,52,West Virginia
Wisconsin,53588,61940,8352,15.52,,102120.83,52,Wisconsin
Wyoming,4656,5497,841,18.00,,116000.00,52,Wyoming
